x,y
785634,6886912
785585,6886844
785706,6887061
785593,6886979
785990,6886775
785882,6886767
785836,6886796
785854,6886841
785670,6887059
785694,6887003
786078,6886618
785891,6886487
785957,6886666
786122,6886685
786020,6886745
785924,6886758
786013,6886687
785997,6886708
785890,6886705
785938,6886702
785918,6886925
785899,6886990
785898,6886945
786021,6886868
785760,6886920
785795,6886934
785768,6887036
785996,6886911
785790,6886781
785760,6886993
785994,6886638
785988,6886854
785946,6886772
786013,6886883
785726,6886909
785861,6886772
785898,6886803
785949,6886867
785940,6886958
785610,6886961
785842,6886623
785838,6886273
785634,6886814
785602,6886807
785591,6886792
785567,6886967
785596,6887022
785542,6886839
785551,6886867
785569,6886808
786073,6886676
785917,6886654
786162,6886727
785943,6886638
786132,6886774
785798,6886892
785565,6886371
786044,6886630
785983,6886611
786109,6886612
785972,6886686
786204,6886688
786146,6886745
786177,6886658
786152,6886680
786082,6886726
786144,6886643
786060,6886656
785872,6886661
785930,6886675
786005,6886729
785664,6886929
785774,6886825
786180,6886927
785576,6886879
786063,6886788
786065,6886837
786038,6886813
786102,6886780
785772,6886759
785983,6886899
785869,6887041
785840,6886847
786029,6886676
785790,6886906
785722,6886957
786189,6886707
786150,6886665
786038,6886587
785638,6886743
786158,6886605
786106,6886745
786104,6886656
785976,6886811
786025,6886780
786115,6886762
785617,6886865
786032,6886797
786213,6886637
786042,6886666
785749,6886752
786075,6886819
786094,6886802
786061,6886761
785952,6886797
785905,6886822
785966,6886929
786102,6886709
785154,6886959
785160,6886978
785553,6886973
785927,6886969
785550,6886819
785607,6886888
785899,6886635
785665,6886994
785506,6886873
785318,6886912
784842,6887035
785343,6886966
785479,6886893
785343,6886912
785500,6886918
785524,6886863
785523,6886847
785383,6886992
785483,6886947
785335,6887062
785348,6886938
785265,6886995
785388,6886949
785460,6887036
784846,6887020
785083,6886867
785518,6886901
784386,6886916
784296,6886940
784401,6886899
784381,6886868
784307,6886915
784341,6886891
784429,6886923
784352,6886938
784403,6886991
784185,6887049
784203,6887053
784315,6887049
785478,6886906
784079,6886750
784055,6886699
784062,6887020
784032,6886992
783981,6886983
784080,6886782
784370,6886988
784407,6886865
784400,6886813
784218,6886947
784246,6886954
784374,6886831
784344,6886850
784296,6886879
784359,6886842
784164,6886934
784240,6887027
784325,6887025
783918,6887023
784036,6886960
784143,6887038
784357,6887021
784095,6886924
784256,6886993
784130,6886961
784036,6887019
784314,6886961
784230,6886995
784019,6887017
784329,6886700
784128,6886924
784223,6887020
784096,6886849
784146,6887004
784163,6887041
784287,6887035
784127,6886985
784082,6886881
784193,6886940
783964,6887052
784420,6886975
784056,6886873
784310,6886867
784337,6886947
